credit_score,income,existing_loans,age,loan_amount,employment_years,default
2.395,-0.217,-0.269,-1.433,0.007,0.394,0.0
-1.089,0.93,-2.316,0.778,-0.649,-1.156,0.0
0.057,1.643,-1.395,1.295,-1.886,-2.017,0.0
-0.852,-0.755,-0.507,-1.397,2.017,-2.842,1.0
1.332,0.921,-1.334,-0.516,0.331,-1.786,0.0
-1.256,1.649,-1.26,0.636,-0.723,1.121,0.0
-0.973,2.37,-1.006,1.338,-1.464,-1.015,0.0
-1.406,1.805,-0.925,0.37,-1.538,-0.198,0.0
-2.629,1.876,-0.64,-0.77,1.941,-3.041,1.0
0.13,-3.936,-1.055,0.395,2.416,-2.746,1.0
0.622,1.324,-0.336,-1.637,-1.968,-0.479,0.0
0.857,0.611,1.158,-0.008,-0.926,-1.023,0.0
-3.292,0.886,-1.036,0.893,-0.699,-0.269,0.0
-2.187,0.892,-0.286,0.906,-0.112,1.046,0.0
2.684,-1.275,-1.237,1.512,0.796,-1.294,0.0
-1.53,0.55,-0.117,0.839,-0.767,-1.245,0.0
1.357,0.606,-0.748,-1.235,-0.879,-0.268,0.0
-0.949,-0.229,0.82,-0.843,2.634,-2.724,1.0
2.631,0.302,-0.974,-1.175,1.125,-1.593,0.0
0.825,1.243,-1.027,-1.429,-1.709,-0.909,0.0
0.677,1.242,-1.303,-1.621,-2.759,-0.615,0.0
0.213,0.668,0.996,-0.704,-2.085,0.8,0.0
1.61,1.466,-0.76,-3.308,-1.727,-0.451,0.0
-1.928,3.661,-0.748,-1.332,0.408,-2.47,1.0
-0.512,0.587,-1.315,1.052,-1.125,-2.708,0.0
2.537,2.275,-0.541,1.402,-3.17,-3.946,0.0
0.864,0.604,0.163,-0.706,-1.778,-0.268,0.0
-2.254,0.393,-0.253,1.336,0.035,-0.422,0.0
1.067,0.754,-1.194,0.189,-0.367,-1.984,0.0
2.55,-0.418,-0.275,-0.379,0.255,-0.836,0.0
-1.388,0.291,0.996,1.223,-0.596,-1.701,0.0
0.014,2.984,-1.043,-2.002,-1.353,-3.087,0.0
0.48,2.111,-0.676,-2.572,1.479,-3.499,1.0
-0.048,2.475,-1.034,-2.317,-1.989,-1.292,0.0
0.306,2.082,-0.639,-0.852,-0.423,-2.598,0.0
-0.348,1.562,-1.548,-0.049,-3.212,-1.829,0.0
-0.679,2.031,0.991,1.781,-1.863,-2.393,0.0
-2.062,1.719,-0.035,1.699,-1.048,-0.667,0.0
0.707,1.268,-0.016,-0.883,-1.809,-1.499,0.0
1.524,0.409,0.334,0.913,0.726,-2.69,0.0
0.42,2.546,1.683,1.629,-2.737,-2.695,0.0
-2.429,0.646,-1.263,1.247,0.631,1.087,0.0
-3.467,0.812,-0.933,0.479,1.16,-1.643,1.0
-2.211,-2.195,-2.832,2.271,-0.509,-0.044,1.0
-2.403,-1.011,0.561,2.616,3.319,-1.263,1.0
0.116,1.758,1.275,2.013,-0.018,0.161,0.0
-2.188,2.046,1.171,-2.767,0.271,0.303,1.0
-1.015,0.748,0.426,1.093,-1.662,-2.656,0.0
1.868,-0.19,0.199,-0.168,-0.044,-0.421,0.0
0.796,2.346,-2.638,-0.837,0.905,-3.963,0.0
2.237,1.473,0.173,2.619,-0.229,-2.134,0.0
-0.919,-1.354,-0.999,-2.872,1.893,0.638,1.0
1.715,1.853,0.591,1.511,-1.804,-1.706,0.0
-1.234,0.237,-0.088,1.891,0.554,-2.042,0.0
0.379,1.445,-0.722,-2.238,-2.16,0.495,0.0
1.542,0.336,0.438,1.066,-1.053,-3.263,0.0
0.343,1.958,0.356,0.296,1.449,-1.386,1.0
1.79,0.008,0.151,0.753,0.289,-2.022,0.0
-1.655,0.39,0.25,1.633,-0.315,-2.633,0.0
1.434,-0.472,1.391,-0.626,-0.981,1.632,0.0
1.984,1.436,-1.706,-3.03,-0.773,-1.259,0.0
-0.936,1.134,0.342,0.825,-1.084,-1.522,0.0
-1.002,-0.115,1.303,1.755,0.041,-1.888,0.0
1.444,1.562,1.302,2.098,-0.833,-1.888,0.0
1.442,2.437,0.578,1.494,-1.275,-1.094,0.0
-1.451,0.734,1.348,0.976,-1.412,-1.012,0.0
-3.416,0.057,1.401,1.158,-0.225,-0.817,0.0
-1.865,0.273,0.365,0.498,-0.584,-2.116,1.0
3.021,0.058,1.021,-2.167,1.54,-0.187,0.0
2.652,-0.329,0.596,-1.055,0.577,-0.193,0.0
0.06,0.767,-0.982,1.774,-0.79,-1.922,0.0
2.032,0.453,-0.312,-1.176,-0.226,-1.135,0.0
0.25,1.407,1.047,1.433,-2.298,-2.522,0.0
-0.604,2.968,0.158,-2.642,-3.142,-1.351,0.0
1.953,0.833,0.029,-0.931,1.484,-1.898,0.0
-0.907,-0.298,1.693,1.314,0.037,-2.408,0.0
-1.157,0.968,0.882,0.245,-1.862,-1.041,0.0
-1.47,1.764,-0.123,0.858,-0.787,-0.483,0.0
2.418,0.323,1.796,-2.527,-0.578,0.241,0.0
-0.864,1.291,-1.104,1.156,-1.425,-1.658,0.0
-0.315,-1.762,0.499,-0.482,0.493,-0.212,1.0
0.039,0.976,0.989,-0.633,-1.991,0.248,0.0
-4.427,-0.33,-0.57,1.943,2.244,0.349,0.0
1.59,0.992,-1.471,-2.128,-0.692,-0.512,0.0
-0.242,2.966,0.418,1.098,1.829,-1.246,1.0
-1.999,0.16,-0.376,0.607,-0.251,-0.981,0.0
-0.565,2.308,-0.258,-2.355,-3.308,-0.069,0.0
0.57,1.893,-0.916,-0.913,-0.621,-2.615,0.0
0.036,1.723,-0.495,-0.38,-2.753,-0.567,0.0
-0.078,1.886,-0.09,1.408,-0.536,-0.118,0.0
0.189,2.71,1.745,-1.519,-0.92,-3.292,0.0
0.007,2.89,-0.856,-1.429,1.532,-2.844,1.0
-0.4,2.835,0.77,-2.412,-2.112,-1.486,0.0
-0.355,3.101,-1.458,-2.469,-2.021,-2.179,0.0
-1.936,0.561,0.493,1.204,-1.068,-1.959,0.0
-1.627,1.281,-1.407,2.087,0.891,-0.15,0.0
-0.162,1.048,-2.036,-0.094,1.315,-1.544,1.0
0.371,1.485,-0.114,-0.916,-1.627,-1.337,0.0
-1.174,-0.018,1.098,1.832,1.267,-0.553,0.0
1.499,-1.764,-2.441,-2.685,1.511,0.118,1.0
1.195,-0.339,0.207,0.392,-1.145,0.272,0.0
1.348,-0.79,-0.334,1.077,-0.683,0.337,0.0
-1.543,1.448,0.015,0.534,2.007,-1.768,1.0
1.055,0.024,1.109,-0.275,-0.427,0.701,0.0
-0.343,2.336,-0.749,-1.209,-2.049,-1.904,0.0
1.853,-0.451,0.397,0.903,0.573,-1.038,0.0
-0.739,2.856,1.318,-2.236,-2.849,-1.288,0.0
-2.256,-0.286,1.956,2.863,2.255,-0.684,1.0
0.038,1.841,0.539,-2.267,-2.763,-0.022,0.0
2.366,1.789,-0.002,0.401,-3.956,-3.729,0.0
-0.729,0.665,0.056,0.758,-1.452,-1.188,0.0
0.739,2.081,-0.631,-2.06,-1.832,-2.163,0.0
-3.216,-0.294,0.5,1.381,1.573,1.139,0.0
0.598,1.62,-1.325,-1.175,-0.989,-1.628,0.0
-0.212,1.245,-2.115,-1.486,2.132,-3.04,1.0
-1.001,0.225,-1.096,-0.194,-2.145,-1.393,0.0
-4.387,0.055,-1.123,1.376,1.987,1.344,0.0
-2.495,0.539,0.138,0.963,-0.842,-1.144,0.0
0.316,0.907,0.206,0.526,-1.046,-0.998,0.0
-3.794,0.289,-1.67,1.549,0.861,0.987,0.0
-1.696,1.922,0.939,0.822,-0.934,0.489,0.0
-0.399,0.904,0.533,-0.098,-2.068,0.579,0.0
0.938,0.277,-1.758,0.043,-1.589,-0.553,0.0
2.027,1.446,-2.218,-1.722,0.352,-2.922,0.0
-3.293,-0.176,0.83,1.066,1.135,0.526,0.0
-1.898,1.083,0.348,1.179,-1.431,-1.535,0.0
1.377,-0.188,-0.686,-0.88,-1.994,1.067,0.0
-1.268,-1.688,-0.62,0.545,1.787,-2.025,1.0
-0.147,-2.397,0.484,0.622,2.192,-0.541,1.0
0.052,1.399,0.214,-0.522,-1.95,-1.078,0.0
0.184,-2.513,-2.821,-1.944,0.998,-1.865,1.0
0.66,0.842,2.145,-1.753,-2.694,0.733,0.0
1.151,1.654,-0.587,-3.23,-1.375,-0.038,0.0
0.026,1.449,-1.835,-1.511,-2.511,0.082,0.0
-1.236,1.372,-0.304,1.902,-0.339,-0.448,0.0
1.247,1.337,0.876,-1.876,-0.098,-0.927,0.0
-0.246,-1.715,0.866,0.115,1.056,-2.145,1.0
-0.731,0.659,1.449,2.933,1.906,-0.116,1.0
0.985,-0.733,-0.305,1.27,-1.403,0.443,0.0
0.757,2.379,-0.048,-2.101,-1.53,-2.866,0.0
-0.015,3.39,0.996,-2.579,-0.61,-3.138,0.0
-1.176,0.493,-0.509,1.138,-0.994,-1.987,0.0
1.299,-3.158,0.06,-3.022,3.174,-0.914,1.0
-1.558,0.757,-0.496,0.299,-2.036,-1.559,0.0
-3.358,0.863,-1.186,-0.365,-1.371,0.254,0.0
-0.634,-1.194,0.06,1.312,2.342,-1.462,1.0
0.384,0.961,0.467,0.536,-1.063,-1.817,0.0
-1.078,-1.515,0.538,1.876,1.665,-0.764,1.0
-0.259,0.986,0.996,-0.528,-3.425,-2.439,0.0
0.248,2.094,-0.544,-0.755,-0.849,-2.783,0.0
-0.023,1.537,0.017,-1.177,-2.123,-0.432,0.0
1.134,1.252,1.217,1.458,-1.997,-1.532,0.0
-0.895,-0.991,-0.836,-1.436,0.961,-0.548,1.0
0.624,1.806,-0.107,-2.095,-1.202,-0.947,0.0
1.423,1.177,0.17,-1.739,-0.534,-1.196,0.0
-3.117,-0.102,-0.566,0.319,0.363,1.596,0.0
0.661,0.957,-1.648,-1.075,-1.243,-0.146,0.0
-1.758,1.515,-0.695,0.414,-1.588,-0.371,0.0
0.968,-0.721,-1.103,0.365,-1.378,1.747,0.0
-1.459,1.662,0.44,0.846,-2.304,-2.594,0.0
-0.232,1.541,-0.491,-0.078,-2.198,-1.623,0.0
1.521,-0.445,-0.648,0.083,-1.052,0.349,0.0
-0.714,1.092,0.813,1.78,0.125,0.066,0.0
0.38,1.777,-0.709,-1.158,-2.147,-1.962,0.0
-1.574,0.748,-0.885,-0.012,-2.622,-1.251,0.0
1.94,-0.505,1.932,-0.282,1.359,-1.572,1.0
2.135,0.344,0.1,-0.573,-0.338,-1.949,0.0
2.289,1.224,-0.688,-2.806,-0.299,-1.503,0.0
1.904,0.41,-0.049,-0.025,0.189,-2.293,0.0
-0.453,-0.051,-0.903,-2.855,-0.702,-0.376,1.0
1.583,0.108,0.077,-1.108,-0.935,0.439,0.0
-0.96,1.715,-1.794,0.389,-2.071,-0.602,0.0
0.655,0.974,-0.033,0.717,-1.993,-1.263,0.0
-1.609,3.606,-1.285,2.354,2.832,-0.728,1.0
0.571,0.143,-0.211,0.876,-1.889,-2.763,0.0
1.741,-0.068,-0.637,-0.3,-0.246,-0.371,0.0
1.294,2.412,0.409,-2.43,0.36,-3.077,0.0
-1.266,1.045,0.491,0.777,-1.56,-0.952,0.0
-3.155,-0.659,0.936,1.682,1.766,-0.298,0.0
-0.472,2.014,-1.174,-1.986,-3.046,0.068,0.0
-1.765,1.594,-0.433,1.316,-1.192,-1.138,0.0
1.111,0.523,0.674,1.187,0.458,-2.62,0.0
-0.002,-1.874,0.545,-1.142,1.946,-1.556,1.0
1.37,1.09,-0.642,-1.202,-0.125,-1.5,0.0
-0.118,0.345,0.199,-1.758,0.34,-2.131,1.0
-0.08,1.666,1.224,-0.048,0.192,-1.29,1.0
-2.614,4.056,0.72,-1.273,0.14,-2.531,1.0
-0.572,1.972,0.72,0.776,-2.325,-1.218,0.0
-0.09,2.419,1.625,-1.665,-1.518,-1.872,0.0
-2.356,0.334,-1.878,0.568,-0.288,-1.02,1.0
-1.437,0.32,-0.014,-1.955,0.066,-0.655,1.0
-3.695,-0.367,0.174,3.458,1.962,-0.438,1.0
2.6,0.854,0.061,-2.655,0.363,-1.144,0.0
-2.74,0.263,-0.648,-0.143,-1.993,-1.143,0.0
2.368,1.589,0.663,-2.927,0.0,-2.422,0.0
1.424,0.381,2.999,0.119,1.04,-1.033,1.0
-2.543,0.811,0.645,1.211,0.355,-0.612,0.0
1.539,1.046,-2.354,-1.495,0.004,-1.244,0.0
-1.767,1.189,0.339,-1.808,0.142,0.118,1.0
1.412,0.716,-0.387,-0.841,-0.516,-1.161,0.0
1.639,1.526,-0.327,2.394,-0.526,-3.22,0.0
1.331,1.308,0.249,-2.004,-0.86,-1.047,0.0
2.722,0.11,0.139,-2.306,-0.722,-0.151,0.0
0.715,2.043,-0.95,1.753,-2.318,-2.551,0.0
0.013,1.671,0.495,-1.208,-1.427,-0.625,0.0
2.092,1.473,0.255,1.18,-2.344,-2.729,0.0
-2.348,-0.712,-1.031,0.309,-0.375,0.629,1.0
-3.739,0.345,0.157,1.497,2.26,1.977,0.0
-0.858,0.776,-1.733,0.952,1.433,-1.166,1.0
0.677,0.692,0.944,0.312,-1.485,-1.48,0.0
1.869,0.532,1.933,3.66,1.22,1.447,1.0
0.293,1.399,1.206,1.703,-0.668,-1.012,0.0
-0.83,3.961,-0.347,-3.345,-2.668,-2.511,0.0
0.799,2.686,-0.119,-2.894,-0.551,-2.402,0.0
0.457,1.125,-2.554,-2.503,-2.339,1.542,0.0
-0.885,4.252,0.335,-2.503,-2.27,-4.27,0.0
-2.909,1.196,-0.567,1.234,0.265,0.511,0.0
1.265,-2.285,0.3,-1.524,1.596,-0.932,1.0
1.216,1.143,-0.434,-1.236,-0.784,-1.465,0.0
1.8,-0.08,1.416,-1.068,-1.085,0.397,0.0
-0.661,0.906,-0.525,0.262,-2.65,0.408,0.0
-1.398,0.492,-0.264,0.329,-1.021,-0.19,0.0
1.225,2.142,-0.332,-3.057,-0.495,-1.549,0.0
0.845,1.403,0.522,1.459,-1.396,-2.159,0.0
-3.812,-0.619,-1.096,0.633,1.233,1.195,0.0
-0.483,3.465,-0.36,-3.274,-2.547,-1.927,1.0
-1.846,1.098,1.175,1.881,1.505,0.805,0.0
-3.865,-0.128,0.344,0.592,-0.355,-1.871,0.0
-2.523,0.4,0.638,1.625,0.827,-0.317,0.0
0.761,1.449,-0.282,-1.528,-1.396,-1.106,0.0
0.222,2.465,0.834,-1.138,-0.697,-3.164,0.0
1.933,2.336,-1.821,1.586,-2.24,-1.712,0.0
1.488,0.086,0.667,0.069,-1.088,-1.021,0.0
1.838,-0.21,0.278,-1.076,-0.724,0.772,0.0
1.987,-1.612,-0.431,1.709,-1.155,0.236,0.0
1.571,-0.293,0.675,0.37,-1.057,-0.588,0.0
1.281,0.641,1.362,0.319,-2.402,-1.485,0.0
-0.073,0.485,-0.098,0.211,-2.622,0.464,0.0
-0.307,0.497,0.593,2.157,-0.622,0.653,1.0
0.403,2.242,0.253,1.113,-2.096,-1.605,0.0
1.066,-0.58,-1.075,0.713,-0.34,-0.377,1.0
-2.628,0.453,-0.275,1.585,0.598,-1.385,0.0
0.59,0.637,1.041,-1.022,-2.094,0.58,0.0
0.556,2.125,-1.328,0.41,-2.509,-0.549,0.0
-0.201,0.076,-0.298,0.855,-0.843,-2.035,0.0
-1.705,0.811,-1.961,-1.726,0.753,-2.931,1.0
0.444,0.681,-0.916,0.188,-1.59,-0.843,0.0
-0.588,-0.021,0.239,-0.389,1.287,-2.223,1.0
-1.619,0.748,1.734,2.214,1.665,0.807,0.0
-1.934,-0.646,0.358,-1.141,2.293,-0.448,1.0
1.151,0.523,-1.114,-0.35,-0.531,-0.805,0.0
1.062,0.349,-0.61,-0.561,-1.427,-0.077,0.0
-1.927,1.187,-0.13,0.21,-1.43,-1.151,0.0
0.434,1.434,0.61,-1.331,-0.706,-0.466,0.0
0.642,-0.454,0.684,0.009,4.089,-2.629,1.0
-0.223,3.233,-0.254,-2.298,-1.987,-3.052,0.0
-0.352,3.902,1.005,-3.196,-1.454,-3.209,0.0
-0.666,1.018,-0.162,0.454,-1.635,-0.725,0.0
-0.88,1.71,-0.929,2.253,-0.567,-0.463,0.0
-0.676,1.794,-0.418,0.609,-1.37,0.415,0.0
0.991,-0.044,-0.405,0.978,-0.619,-0.813,0.0
-0.506,-1.182,2.448,1.092,1.738,-1.464,1.0
-4.498,-0.239,1.513,0.082,-0.28,-0.923,0.0
-1.765,2.477,-0.637,-1.234,2.623,-3.274,1.0
0.283,1.661,-1.396,-2.866,-0.47,-2.795,1.0
-1.255,2.309,-0.028,0.498,-2.351,0.187,0.0
-1.581,-0.218,0.475,6.014,2.432,1.68,1.0
3.141,-0.145,-1.019,-0.947,0.827,-1.807,0.0
-0.203,1.375,-0.973,0.206,-2.76,-1.492,0.0
-0.146,1.37,0.022,0.777,-1.118,-0.667,0.0
-1.636,-0.335,-0.075,-1.427,0.825,-0.064,1.0
-0.812,2.078,-1.383,-0.993,-3.04,-0.823,0.0
1.381,1.603,1.11,1.918,-0.541,-1.117,0.0
1.928,-1.268,0.393,0.41,-0.087,1.582,0.0
-1.81,-2.61,2.102,2.408,0.658,-0.152,1.0
-0.268,2.216,2.265,-1.653,-1.933,-1.082,0.0
-3.56,2.625,-0.864,0.589,1.011,-1.5,1.0
-0.644,0.533,1.713,0.499,-0.934,-0.263,0.0
1.233,0.03,-0.103,0.779,-0.478,-1.207,0.0
-0.404,1.698,-0.386,-0.623,-1.997,-0.844,0.0
0.024,1.266,1.257,-0.58,-3.209,-0.952,0.0
1.607,1.095,0.586,-0.909,0.357,-2.274,0.0
-0.272,0.571,0.226,1.356,-0.397,-1.239,0.0
-1.839,0.071,1.082,1.375,0.934,-0.387,0.0
-2.115,-1.513,0.876,1.635,0.497,-0.628,1.0
0.78,1.696,-0.092,-1.662,-0.355,-1.33,0.0
1.21,1.646,1.451,-0.909,-0.08,-3.083,0.0
0.989,1.62,-0.112,-2.306,-1.627,-1.014,0.0
-1.371,0.492,-1.711,-2.299,0.32,-0.505,1.0
-1.912,1.016,-0.479,0.63,-0.996,-0.548,0.0
-0.953,0.961,0.08,1.605,0.529,-1.303,0.0
1.856,1.306,-0.893,-2.03,-1.015,-2.135,0.0
-1.773,3.436,-2.367,-1.995,-3.321,-1.22,0.0
-3.903,-2.073,-1.354,1.285,1.065,2.2,1.0
-0.25,1.173,1.692,-0.395,-2.95,-0.314,0.0
1.298,0.107,0.242,0.5,-1.847,-1.546,1.0
0.049,-0.004,0.067,0.655,-1.606,1.195,0.0
2.514,-0.701,0.796,-0.325,0.277,-0.057,0.0
-2.506,0.85,1.259,-0.6,0.377,-0.872,1.0
-2.642,-0.039,1.032,-0.815,-1.636,0.176,0.0
3.393,-0.716,-1.78,-1.019,1.322,-0.524,0.0
0.949,1.005,-0.36,0.449,-2.731,-2.72,0.0
0.256,1.293,-0.529,0.157,-3.583,-2.628,0.0
0.215,2.076,-0.233,-1.723,-0.934,-1.317,0.0
-0.831,1.145,0.737,2.616,0.385,-1.367,0.0
-0.445,1.142,0.219,2.389,-0.994,-2.592,0.0
2.073,1.106,-0.927,-1.626,1.632,-1.859,0.0
1.72,1.155,0.889,-2.592,-0.898,-0.586,0.0
0.694,1.724,0.197,-1.554,-0.253,-1.372,0.0
-0.497,2.542,0.834,-1.797,-2.317,-1.374,0.0
2.94,-1.427,1.066,0.351,1.415,0.441,0.0
-3.653,-0.352,1.533,1.61,1.631,-0.165,0.0
-1.8,4.086,0.515,-2.146,0.02,-2.687,1.0
-3.646,0.898,1.318,1.682,0.208,-0.51,1.0
0.362,0.541,1.068,0.329,-1.47,-0.428,0.0
-0.747,3.064,0.693,-2.434,-3.406,-1.737,0.0
0.292,0.471,0.268,1.753,-1.716,-2.218,0.0
-0.001,1.52,0.954,1.328,-1.826,-2.395,0.0
-2.982,-0.148,-0.389,0.843,0.6,0.218,0.0
-2.44,0.597,2.407,0.688,-0.171,0.221,0.0
0.593,1.284,-2.167,-0.799,-1.297,-1.312,0.0
-0.683,1.638,-0.481,-0.934,-2.636,0.172,0.0
-0.696,1.558,0.007,0.291,-3.065,-2.832,0.0
0.044,-0.721,-0.202,-2.604,0.626,0.644,1.0
-2.083,0.981,1.739,0.18,-1.699,-0.001,0.0
0.731,1.871,0.902,-0.869,-0.411,-2.872,0.0
0.713,1.276,0.389,-0.603,-1.082,-1.731,0.0
-0.446,2.447,0.875,-1.507,-1.777,-1.5,0.0
-0.402,-0.433,0.059,-0.878,1.547,-1.592,1.0
3.074,-0.868,0.923,-0.914,-0.077,0.025,0.0
-1.314,2.262,-0.235,-0.332,-2.179,-0.989,0.0
1.04,0.893,0.64,-0.272,-0.819,-1.778,0.0
-4.331,-0.616,-1.683,0.521,1.734,0.774,1.0
0.693,1.53,0.056,-0.778,-0.693,-2.05,0.0
-2.275,1.139,-0.211,1.918,0.591,-0.137,0.0
-1.803,1.391,0.784,1.124,-0.907,-0.833,0.0
-1.748,-0.056,-0.278,0.676,-0.857,-0.664,1.0
0.439,1.785,0.55,-1.493,-0.055,-1.036,0.0
0.501,1.122,0.333,-0.26,-1.971,-1.64,0.0
-1.751,1.641,-0.909,0.28,-2.059,-0.369,0.0
-3.317,-1.282,1.856,0.48,1.409,-1.461,1.0
-2.269,0.739,-1.342,1.461,1.219,1.482,0.0
0.352,1.43,-1.911,1.037,-2.719,-2.235,0.0
-0.264,0.732,-0.659,2.26,0.182,-1.475,0.0
1.664,2.999,1.111,-0.972,1.271,-2.088,1.0
-0.408,1.896,0.485,-1.157,-2.997,-0.908,0.0
0.718,1.456,-1.164,1.249,-2.351,-2.75,0.0
0.777,2.385,-1.111,-2.882,-0.773,-1.599,0.0
-1.057,0.675,0.374,1.759,-0.48,-1.779,0.0
0.618,0.195,0.53,1.047,1.194,-0.784,1.0
-1.726,0.197,-0.916,-2.19,0.338,-0.27,1.0
-2.047,0.725,0.425,1.263,1.105,0.143,0.0
1.78,-0.614,0.93,0.306,-0.465,0.133,0.0
